,DiaChi,GiaBan,DuAn,DienTich(m2),TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem,Quan
26,"13B, Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",1.9,,80.0,Đã bàn giao,23.75,3.0,2.0,,Đã có sổ,Nhà trống,,,, Huyện Bình Chánh
27,"B2, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",2.4,,35.0,Đã bàn giao,68.57,1.0,1.0,3.0,,,,Nam,, Quận 1
28,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",4.95,,106.0,Chưa bàn giao,46.7,2.0,2.0,,Đã có sổ,,Đông Bắc,,, Quận 7
29,"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.75,Ricca,56.0,Đã bàn giao,31.25,2.0,2.0,,Đã có sổ,Nội thất cao cấp,,,, Thành phố Thủ Đức
30,"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",1.5,,60.0,Đã bàn giao,25.0,2.0,2.0,,,,,,, Quận 8
31,"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.899,Vinhomes Grand Park,59.0,Đã bàn giao,32.19,2.0,1.0,,,,,,, Thành phố Thủ Đức
32,"307, Nguyễn Duy Trinh, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.6,,75.0,Đã bàn giao,34.67,2.0,2.0,,,Nội thất đầy đủ,,,, Thành phố Thủ Đức
33,"Số 243, Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",1.28,Summer Square,68.0,Đã bàn giao,18.82,2.0,2.0,8.0,,,Đông Nam,Tây Bắc,, Quận 6
34,"Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh",1.32,Green River - Quận 8,68.0,Đã bàn giao,19.41,2.0,2.0,9.0,,,Đông Nam,Tây Bắc,, Quận 8
35,"Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",1.1,,52.0,Đã bàn giao,21.15,2.0,1.0,2.0,Giấy tờ khác,,,,, Quận Bình Tân
36,"Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",6.6,Park Legend,88.0,Đã bàn giao,75.0,3.0,2.0,14.0,,,,Tây,, Quận Tân Bình
37,"39, Bến Vân Đồn, Phường 13, Quận 4, Tp Hồ Chí Minh",1.58,The Tresor,78.0,Đã bàn giao,20.26,2.0,2.0,8.0,,,Đông Nam,Tây Bắc,, Quận 4
38,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.4,Saigon Riverside Complex Q7,66.0,Đã bàn giao,36.36,2.0,2.0,,,,,,, Quận 7
39,"Đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",1.62,Hưng Ngân Garden,56.0,Đã bàn giao,28.93,1.0,,12.0,Đã có sổ,,,,, Quận 12
40,"Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",1.37,EHome 3,51.0,Đã bàn giao,26.86,2.0,2.0,,,,,,, Quận Bình Tân
41,"Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",3.8,Botanica Premier,69.0,Đã bàn giao,55.07,2.0,2.0,,,,,,, Quận Tân Bình
42,"104, Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",3.0,The Botanica,53.0,Chưa bàn giao,56.6,1.0,1.0,4.0,,,,,, Quận Tân Bình
43,"119, Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",4.3,Golden Mansion,75.0,Đã bàn giao,57.33,2.0,2.0,10.0,,,,,, Quận Phú Nhuận
44,"Khu số 15A1, Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",3.6,Dragon Hill Residence And Suites 1,119.5,Đã bàn giao,30.13,3.0,2.0,,Đã có sổ,Nhà trống,,,, Huyện Nhà Bè
45,"Đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",2.05,Hưng Ngân Garden,68.0,Đã bàn giao,30.15,2.0,2.0,16.0,,,,Bắc,, Quận 12
46,"Số 18, Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.96,Sunview Town,58.0,Đã bàn giao,33.79,2.0,2.0,,,,Đông Nam,,, Thành phố Thủ Đức
47,"6, 18, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.9,,54.0,Chưa bàn giao,35.19,2.0,2.0,,,,Nam,Đông Nam,, Thành phố Thủ Đức
48,"819, Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",2.2,Saigon Homes Bình Tân,80.0,Đã bàn giao,27.5,3.0,,,,Nhà trống,,Đông Nam,Căn góc, Quận Bình Tân
49,"Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",2.9,,70.0,Đã bàn giao,41.43,2.0,2.0,8.0,,,,Tây,, Quận Tân Bình
50,"Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",1.85,Hưng Ngân Garden,68.0,Đã bàn giao,27.21,2.0,2.0,18.0,,,,Nam,, Quận 12
51,"119, Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",7.0,Golden Mansion,105.0,Đã bàn giao,66.67,3.0,2.0,20.0,,,,Nam,, Quận Phú Nhuận
52,"Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.05,Lumiere Boulevard,55.0,Chưa bàn giao,19.09,1.0,1.0,,,,,,, Thành phố Thủ Đức
53,"Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",3.6,,75.0,Đã bàn giao,48.0,2.0,2.0,,Đã có sổ,,,,, Quận Gò Vấp
54,"36 36 Đường Trịnh Đình Thảo, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",2.05,Lotus Garden,80.0,Đã bàn giao,25.63,3.0,2.0,,Đã có sổ,,Đông Nam,,, Quận Tân Phú
55,"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",3.0,Richmond City,66.0,Đã bàn giao,45.45,2.0,,,,,,,, Quận Bình Thạnh
56,"Long Trường, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.8,Centana Điền Phúc Thành,100.0,Chưa bàn giao,38.0,2.0,1.0,,,,,,, Thành phố Thủ Đức
57,"Đường Số 20, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.7,,68.0,Đã bàn giao,25.0,2.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Thành phố Thủ Đức
58,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",3.25,Celadon City,71.0,Đã bàn giao,45.77,2.0,2.0,,Đang chờ sổ,Nhà trống,,,, Quận Tân Phú
59,"Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",2.3,Belleza Apartment,88.0,Đã bàn giao,26.14,2.0,2.0,,,,Đông Nam,Tây Bắc,, Quận 7
60,"Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",3.05,Belleza Apartment,124.0,Đã bàn giao,24.6,3.0,2.0,,,,Đông Bắc,Đông Nam,, Quận 7
61,"Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",2.15,Belleza Apartment,76.0,Đã bàn giao,28.29,2.0,2.0,,,,Đông Bắc,Đông Nam,, Quận 7
62,"Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",1.55,Belleza Apartment,45.0,Đã bàn giao,34.44,1.0,1.0,,,,Đông Nam,Tây Bắc,, Quận 7
63,"Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",1.55,Saigon Pearl,80.0,Đã bàn giao,19.38,2.0,2.0,17.0,,,,,, Quận Bình Thạnh
64,"Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",1.8,Tecco Green Nest,58.0,Đã bàn giao,31.03,2.0,2.0,8.0,,,Đông Nam,,, Quận 12
65,"Số 504, Nguyễn Tất Thành, Phường 18, Quận 4, Tp Hồ Chí Minh",3.79,Riva Park,80.0,Đã bàn giao,47.38,2.0,2.0,,Đã có sổ,,,,, Quận 4
66,"đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",1.9,Hưng Ngân Garden,73.0,Đã bàn giao,26.03,2.0,2.0,16.0,,,,Bắc,, Quận 12
67,"Phạm Văn Đồng, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",4.3,St Moritz,78.0,Đã bàn giao,55.13,2.0,2.0,,,,,,, Thành phố Thủ Đức
68,"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.45,Lexington Residence,82.0,Đã bàn giao,42.07,2.0,2.0,,,,Đông,Tây,, Thành phố Thủ Đức
69,"961, Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh",2.6,,83.0,Đã bàn giao,31.33,2.0,2.0,15.0,,,,Tây Bắc,, Quận 6
70,"Lô A1, Tân Hưng, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",1.45,Florita,78.0,Đã bàn giao,18.59,2.0,2.0,,,,,,, Quận 7
71,"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",1.39,Richmond City,65.0,Đã bàn giao,21.38,2.0,1.0,15.0,,,,Đông,, Quận Bình Thạnh
72,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.3,Saigon Riverside Complex Q7,73.0,Đã bàn giao,31.51,2.0,2.0,,,,,,, Quận 7
73,"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.8,Saigon Gateway,57.0,Đã bàn giao,31.58,2.0,1.0,,,,,,, Thành phố Thủ Đức
74,"Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",4.65,Botanica Premier,69.0,Đã bàn giao,67.39,2.0,2.0,,,,,,, Quận Tân Bình
75,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.85,Saigon Riverside Complex Q7,53.0,Đã bàn giao,34.91,1.0,1.0,,,,,,, Quận 7
76,"Đường Nguyễn Phúc Nguyên, Phường 10, Quận 3, Tp Hồ Chí Minh",3.85,,81.9,Đã bàn giao,47.01,2.0,2.0,10.0,,,Đông Bắc,Tây Nam,, Quận 3
77,"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",2.39,PiCity High Park,58.0,Đã bàn giao,41.21,2.0,,8.0,Đang chờ sổ,,,,, Quận 12
78,"Hẻm C6-C7-C8 Đường Lê Văn Việt, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.67,,58.0,Đã bàn giao,28.79,1.0,1.0,7.0,Đã có sổ,,,,, Thành phố Thủ Đức
79,"1002, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",3.05,,68.68,Đã bàn giao,44.41,2.0,2.0,20.0,,,Tây Bắc,Đông Nam,, Quận 8
80,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",1.55,Celadon City,72.0,Đã bàn giao,21.53,2.0,2.0,,,,,,, Quận Tân Phú
81,"Phạm Văn Đồng, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.4,Flora Novia,60.0,Đã bàn giao,40.0,2.0,2.0,,,,,,, Thành phố Thủ Đức
82,"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.67,Vinhomes Grand Park,69.0,Chưa bàn giao,24.2,2.0,2.0,19.0,,,,Đông Nam,, Thành phố Thủ Đức
83,"Hẻm 219 Đường Số 5, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",1.68,,63.0,Đã bàn giao,26.67,2.0,1.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận Bình Tân
84,"Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",0.65,,34.0,Đã bàn giao,19.12,1.0,1.0,8.0,,,,,, Quận Bình Tân
85,"Đường Phú Thuận, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.4,,93.0,Đã bàn giao,25.81,2.0,2.0,10.0,,,Đông,Tây,, Quận 7
86,"Lô đất S1-2, Tân Phú, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",6.35,Cảnh Viên 2,118.0,Đã bàn giao,53.81,3.0,2.0,2.0,,,,Đông Bắc,, Quận 7
87,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.93,Saigon Riverside Complex Q7,68.0,Chưa bàn giao,28.38,2.0,2.0,,,,,,, Quận 7
88,"7A, Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",1.75,,57.0,Đã bàn giao,30.7,1.0,,3.0,,,Đông Nam,Nam,, Quận Tân Phú
89,"Vinhome Grand Park, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.254,,59.0,Chưa bàn giao,55.15,2.0,,,,,,,, Thành phố Thủ Đức
90,"Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh",2.8,La Partenza,78.0,Chưa bàn giao,35.9,2.0,2.0,,Đã có sổ,,,,, Huyện Nhà Bè
91,"205, Lạc Long Quân, Phường 3, Quận 11, Tp Hồ Chí Minh",1.51,Cao ốc RES 11 (Residence Eleven),70.0,Đã bàn giao,21.57,2.0,2.0,,,,,,, Quận 11
92,"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",2.4,Akari City,56.0,Chưa bàn giao,42.86,2.0,2.0,,Đang chờ sổ,Nhà trống,,,, Quận Bình Tân
93,"Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",1.6,Chung cư Đông Hải,63.0,Đã bàn giao,25.4,2.0,2.0,14.0,,,,Đông Bắc,, Quận 12
94,"Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",1.95,,77.0,Đã bàn giao,25.32,2.0,2.0,4.0,,,,,, Huyện Bình Chánh
95,"Đường Đào Trinh Nhất, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",0.25,,53.0,Chưa bàn giao,4.72,2.0,2.0,,,,Đông Nam,Tây Bắc,, Thành phố Thủ Đức
96,"Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",1.95,Hưng Ngân Garden,68.0,Đã bàn giao,28.68,2.0,2.0,16.0,,,,,, Quận 12
97,"265-197, 265-197 Đường số 9A, Khu chức năng 6A, Khu dân cư Trung Sơn, Xã Bình Hưng, Huyện Bình Chánh, TP Hồ Chí Minh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",3.5,Saigon Mia,78.0,Đã bàn giao,44.87,2.0,2.0,,,,,,Căn góc, Huyện Bình Chánh
98,"9A, Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",2.035,PiCity High Park,58.0,Đã bàn giao,35.09,2.0,1.0,,,,,,, Quận 12
99,"Số 504, Nguyễn Tất Thành, Phường 18, Quận 4, Tp Hồ Chí Minh",1.47,Riva Park,82.0,Đã bàn giao,17.93,2.0,2.0,,,,,,, Quận 4
100,"Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",1.9,City Gate Towers,73.0,Chưa bàn giao,26.03,2.0,2.0,,,,,,, Quận 8
101,"Phạm Văn Đồng, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.3,Flora Novia,56.0,Đã bàn giao,41.07,2.0,1.0,,,,,,, Thành phố Thủ Đức
102,"Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",2.5,Diamond Riverside (City Gate Towers 2),78.0,Đã bàn giao,32.05,2.0,2.0,8.0,,,,Bắc,, Quận 8
103,"195, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",1.41,Topaz City,79.0,Đã bàn giao,17.85,2.0,2.0,,,,,,, Quận 8
104,"10A, 10A Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",2.1,Toky Tower,61.0,Đã bàn giao,34.43,2.0,2.0,12.0,,,,Tây,, Quận 12
105,"10A, Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",2.1,Toky Tower,61.0,Đã bàn giao,34.43,2.0,2.0,11.0,,,,,, Quận 12
106,"Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",4.5,Lumiere Boulevard,70.0,Chưa bàn giao,64.29,2.0,,,,,,,, Thành phố Thủ Đức
107,"334, Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh",5.1,Kingdom 101,71.84,Đã bàn giao,70.99,2.0,2.0,22.0,,,,,, Quận 10
108,"Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",0.65,,34.0,Chưa bàn giao,19.12,2.0,1.0,1.0,,,,Đông,, Quận Bình Tân
109,"Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",2.05,Green Town Bình Tân,68.0,Đã bàn giao,30.15,2.0,2.0,,,,,,, Quận Bình Tân
110,"Số 9A, đường Thạnh Xuân 13, phường Thạnh Xuân, Quận 12, TP.HCM, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",2.15,PiCity High Park,58.0,Đã bàn giao,37.07,2.0,1.0,5.0,,,,Đông,, Quận 12
111,"16, Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",2.6,Melody Residences,69.0,Chưa bàn giao,37.68,2.0,2.0,,Giấy tờ khác,,,,, Quận Tân Phú
112,"83, Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",1.65,Terra Royal,72.0,Đã bàn giao,22.92,2.0,2.0,,,,,,, Quận 3
113,"Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",1.65,Green Town Bình Tân,53.0,Đã bàn giao,31.13,2.0,1.0,,,,,,Căn góc, Quận Bình Tân
114,"79-81, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",1.46,Saigonres Plaza,68.0,Đã bàn giao,21.47,2.0,1.0,9.0,,,,Tây,, Quận Bình Thạnh
115,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",2.95,Celadon City,78.0,Đã bàn giao,37.82,2.0,2.0,,,,,,, Quận Tân Phú
116,"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",1.86,Richmond City,86.0,Chưa bàn giao,21.63,3.0,2.0,15.0,,,,Nam,, Quận Bình Thạnh
117,"346, 346 346 Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh, Phường 1, Quận 4, Tp Hồ Chí Minh",3.5,The Gold View,70.0,Đã bàn giao,50.0,2.0,,,,,,,, Quận 4
118,"1, Đường Nghĩa Phát, Phường 6, Quận Tân Bình, Tp Hồ Chí Minh",0.88889,,28.0,Đã bàn giao,31.75,1.0,1.0,,Đã có sổ,Nhà trống,,,, Quận Tân Bình
119,"90A, 90A 90A Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh, Phường 14, Quận 10, Tp Hồ Chí Minh",1.48,Xi Grand Court,70.0,Đã bàn giao,21.14,2.0,2.0,,,,,,, Quận 10
